LSOA11CD,imd_rank,imd_score,income,employment,education,health,crime,housing,living_env,idaci,idaopi,IDfetex,iMEAN1,iDEVST1,iMAJORITY1,iMEAN2,iDEVST2,iMAJORITY2,iMEAN3,iDEVST3,iMAJORITY3,iMEAN_EDG,iDEVST_EDG,iUNIFOR,iENTROP,iCONTRAS,iIDM,iCOVAR,iVARIAN,iCORRELAC,iSKEWNESS,iKURTOSIS,iRVF,iRSF,iFDO,iSDT,iMFM,iVFM,iDMF,iRMM,iSDF,iAFM,f1,f2,f3,f4
"E01033750",20066,13.58,.05,.04,6.92,.33,.34,31.67,29.33,.12,.21,279,80.18941,51.30012,25,80.00534,49.36239,28,75.08814,48.23658,33,8.81968,10.2639,.0391365,2.031804,25.74744,.5341538,144.7059,157.5797,.9183034,.760171,.0809423,11.63476,1.521216,117.9156,12.96577,931.0119,.7300236,704.7803,1.404891,-327.8218,5392.654,2.918762,-.5945056,2.213633,.2046843
"E01033751",5021,38.36,.19,.13,43.35,1.92,.7,22.16,43.66,.67,.5,280,91.14552,46.38279,90,90.52158,45.7116,85,84.09403,45.77353,82,9.45899,9.04143,.0136795,2.16665,25.79248,.4580382,115.927,128.8232,.899892,.9654569,1.233192,9.479145,1.519787,118.0007,16.45017,940.2861,.739706,713.2687,1.387169,-349.2193,5497.336,2.863008,-.0989792,1.687688,.1731927
"E01033752",17254,16.45,.03,.03,16.12,.66,-.19,23.6,57.84,.04,.14,281,86.81258,43.14696,90,87.2678,42.76482,93,82.79085,40.87954,82,11.8855,10.2643,.0098725,2.248506,31.47113,.3964759,95.59921,111.3348,.8586644,.3783879,-.2036609,6.538448,1.532715,151.6651,11.74652,1163.384,.7109436,878.6816,1.375063,-442.3396,6766.332,1.790424,1.522564,1.601599,1.058365
"E01033753",18180,15.46,.02,.02,7.79,.76,-1.38,32.02,52.69,.06,.27,282,85.23985,44.91531,25,85.29769,43.05968,36,79.56302,41.52322,33,10.339,10.1039,.0157591,2.162554,26.98159,.454728,107.2754,120.7662,.8882899,.4614502,-.0440931,8.272738,1.493211,120.2847,10.42657,964.4741,.6716019,720.5936,1.432109,-303.8359,5437.641,2.466074,.4323774,1.426825,-.5757951
"E01033754",6946,32.93,.16,.1,22.44,1.16,1.61,22.26,45.57,.48,.46,283,89.40868,38.77355,90,87.23808,38.19538,89,80.56606,37.9491,82,11.5135,9.50273,.0122174,2.193421,28.50215,.386868,75.16562,89.41669,.8406218,.8754538,1.363705,5.819064,1.520551,134.4681,10.00436,941.1609,.5088012,682.842,1.305678,-395.1496,5571.503,1.620412,.8518178,.4458505,1.110875
"E01033755",16185,17.65,.02,.02,8.58,.95,.5,14.89,61.99,.06,.12,284,87.13481,44.17437,74,86.45992,43.34065,77,81.76465,42.99771,66,12.9963,10.7059,.0096926,2.275188,35.15737,.3656178,99.00015,116.5788,.8492121,.9907812,.9337256,6.120757,1.512869,163.5299,24.3722,1296.324,.6984287,977.471,1.311242,-574.0011,7919.161,1.490361,1.935327,1.745641,3.147554
"E01033756",12319,22.61,.04,.04,7.98,.64,1.63,29.07,51.79,.05,.1,285,78.51749,45.28732,25,80.14227,42.98651,36,74.75612,41.88209,33,10.5349,10.2664,.0185091,2.148378,29.59418,.4561203,107.7901,122.5872,.8792933,.6411867,-.099276,7.601507,1.529472,142.8539,14.96608,1083.946,.6756443,814.141,1.363868,-419.7283,6337.497,1.531697,.9207698,2.048372,1.414171
"E01033757",5493,36.87,.18,.14,37.17,1.83,.33,25.36,45.82,.49,.54,286,81.22004,36.6836,66,80.97978,34.89155,69,73.20926,34.57617,58,10.9218,8.56056,.0128128,2.166851,28.6458,.3866836,66.15476,80.47766,.8220264,.9967865,1.604724,5.32861,1.476887,120.4326,10.82476,943.6188,.5743597,691.0799,1.348682,-362.057,5433.613,.8974676,.8877546,.7840962,.923475
"E01033758",6121,35.07,.11,.07,24.56,2.26,.82,29.04,61.33,.22,.43,287,79.48041,38.92051,90,80.46962,37.81752,89,73.48181,38.0204,82,10.5132,9.04863,.012842,2.155251,28.15421,.4083706,76.07675,90.15386,.8438547,1.038172,1.832041,6.101537,1.513245,127.4755,13.80464,999.518,.685626,751.1464,1.326114,-425.1897,5930.545,.8474201,.8489834,1.479869,1.85156
"E01033759",1582,54.12,.37,.28,40.6,1.81,.94,9.15,38.75,.47,.39,288,85.07412,33.20594,74,84.66496,30.86038,81,75.28968,31.18838,66,9.35243,7.57251,.0151665,2.057027,19.21557,.4235283,55.84948,65.45727,.8532205,1.014589,2.148982,6.38033,1.510493,88.28553,3.68403,604.1468,.4527904,431.205,1.302596,-248.3928,3574.869,1.301955,-.4783975,-.0324135,-.4031332
"E01033760",7585,31.37,.03,.03,36.8,.89,1.66,33.58,74.25,.08,.52,289,82.1245,40.68867,90,82.4555,40.00106,89,78.61665,38.60462,82,11.5389,9.96619,.0112164,2.210472,32.03511,.3943538,82.74217,98.75973,.8378129,.8178588,.994543,5.831062,1.495846,140.8042,10.76135,1088.797,.6117225,804.8296,1.358672,-414.3087,6239.462,1.384476,1.283449,1.038378,1.383974
"E01033761",9835,26.79,.04,.03,6.32,1.13,2.53,18.14,70.28,.39,.22,290,79.81268,42.29461,82,79.20771,42.28416,89,76.20644,41.32764,41,13.2831,10.5559,.0098261,2.25385,36.63317,.350446,88.33932,106.6559,.8282647,1.122096,1.647752,5.32655,1.55001,184.6866,19.47754,1294.716,.5821011,958.9289,1.286117,-588.4883,7964.857,.5005212,2.226214,1.830896,4.275949
"E01033762",9976,26.54,.1,.05,17.74,1.47,.84,32.1,42.77,.92,.57,291,81.69989,37.57172,90,81.14066,37.09876,85,76.25779,36.25675,82,11.2752,9.4315,.0118085,2.172633,28.79193,.3947349,69.88992,84.28587,.8292007,.7036735,.8232992,5.440183,1.508576,131.9554,13.22924,1017.069,.6396828,757.608,1.321647,-430.4712,5972.246,.8527164,1.24512,1.196811,1.402623
"E01033763",285,69.53,.41,.35,61.14,2.74,1.07,19.33,39.86,.47,.58,292,79.77813,31.94168,82,81.34644,30.02451,77,70.67979,30.64168,49,10.0774,8.37154,.0167124,2.071679,25.74196,.4198501,48.05239,60.92338,.7887349,1.085583,2.7765,4.533191,1.458715,103.2366,4.828624,718.0378,.3566745,492.9818,1.269336,-299.5883,4144.515,.8366917,.1845258,-.6964376,.5849676
"E01033764",72,76.87,.51,.45,63.81,2.73,1.63,15.95,24.61,.53,.6,293,80.62347,34.1767,82,80.97544,31.1464,73,71.76409,30.82764,74,8.81966,7.57765,.0158406,2.065718,19.66053,.4452727,59.79742,69.62769,.8588167,.8553907,1.399772,6.752806,1.482384,83.47556,4.682798,600.2519,.4559024,427.2041,1.314124,-238.6507,3465.782,1.247112,-.4512231,.0875039,-.7821116
"E01033765",1212,57.11,.39,.3,57.94,1.91,.74,15.01,13.97,.46,.5,294,80.1081,40.31859,82,80.27,39.12421,85,72.95329,39.85846,74,11.8164,9.86535,.0117619,2.206337,33.78292,.3858133,80.54312,97.43459,.8266379,1.14654,2.281982,5.390869,1.481369,145.0813,5.501479,951.7388,.3374538,650.3458,1.26894,-394.3847,5503.155,1.380943,.9889109,-.2410873,1.964969
"E01033766",15356,18.65,.12,.08,10.79,.66,-.19,6.22,50.17,.23,.25,295,69.74837,26.20802,74,68.17352,25.63971,73,62.17743,25.16296,58,10.6136,7.37519,.0163995,2.006647,21.45196,.3814361,30.43901,41.16499,.7394393,.1673215,-.0298669,3.547495,1.506669,98.08559,-1.294753,517.2189,.340722,323.6299,1.318716,-158.7838,1159.402,-.8113706,.8185717,.4042207,-1.789069
"E01033767",858,60.87,.42,.31,51.03,2.02,.02,11.61,48.54,.62,.47,296,74.81284,33.27441,74,73.29145,32.56119,77,65.7906,32.00618,49,11.4221,8.38585,.0124455,2.11691,25.20348,.3740487,53.40911,66.01086,.8090959,.917183,1.763061,4.810915,1.545552,125.5685,5.313091,680.9507,.4655863,450.783,1.359989,-205.6484,1596.56,-.2095515,.7986909,1.440906,-.3437208
"E01033768",2592,48.06,.28,.26,24.18,1.9,.68,21.84,50.58,.3,.55,297,75.08054,31.33676,74,75.64125,29.96825,77,66.81866,29.38121,66,10.4175,8.35731,.0149879,2.090958,25.79787,.3996468,46.09588,58.99482,.7813548,.6261067,1.276607,4.192118,1.437364,102.4477,5.133506,752.1596,.5029803,517.9209,1.385452,-227.9992,2403.71,.3209684,.7576533,.4059572,-1.168779
